电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列,,,,同导演的非女性主义代表作,评分2
海鸥食堂 かもめ食堂,,2006,,8.3,,https://movie.douban.com/subject/1892578/,女性电影TOP300 (ID: 161498552),,,,眼镜,8.1
冰雪奇缘 Frozen,,2013,,8.5,,https://movie.douban.com/subject/4202982/,女性电影TOP300 (ID: 161498552),,,,无敌破坏王,8.7
瞬息全宇宙 Everything Everywhere All at Once,,2022,,7.6,,https://movie.douban.com/subject/30314848/,女性电影TOP300 (ID: 161498552),,,,瑞士军刀男,7.8
诉讼 ?? - ????? ?? ?????? ??????,,2014,,8.1,,https://movie.douban.com/subject/25687245/,女性电影TOP300 (ID: 161498552),,,,七天丧期,7.6
女人世界,,2024,,8.4,,https://movie.douban.com/subject/35183325/,女性电影TOP300 (ID: 161498552),,,,,
女性瘾者：第一部 Nymphomaniac: Volume I,,2013,,7.9,,https://movie.douban.com/subject/6827727/,女性电影TOP300 (ID: 161498552),,,,狗镇,8.4
"德菲因与卡罗尔：反叛缪斯 Delphine et Carole, insoumuses",,2019,,9.2,,https://movie.douban.com/subject/30447702/,女性电影TOP300 (ID: 161498552),,,,,
魔女 ??,,2018,,7.7,,https://movie.douban.com/subject/26602900/,女性电影TOP300 (ID: 161498552),,,,新世界,8.6
小森林 冬春篇 リトル?フォレスト 冬?春,,2015,,9,,https://movie.douban.com/subject/25814707/,女性电影TOP300 (ID: 161498552),,,,重力小丑,8
二十二,,2015,,8.7,,https://movie.douban.com/subject/26430107/,女性电影TOP300 (ID: 161498552),,,,三十二,9
脸庞，村庄 Visages villages,,2017,,9.1,,https://movie.douban.com/subject/26764928/,女性电影TOP300 (ID: 161498552),,,,拾穗者,9
万箭穿心,,2012,,8.6,,https://movie.douban.com/subject/10537853/,女性电影TOP300 (ID: 161498552),,,,我是植物人,7.5
狗十三,,2013,,8.2,,https://movie.douban.com/subject/25716096/,女性电影TOP300 (ID: 161498552),,,,烈日灼心,8.2
黑箱日记 Black Box Diaries,,2024,,9.2,,https://movie.douban.com/subject/36675987/,女性电影TOP300 (ID: 161498552),,,,,
刺猬的优雅 Le hérisson,,2009,,8.8,,https://movie.douban.com/subject/3824274/,女性电影TOP300 (ID: 161498552),,,,,
你好，李焕英,,2021,,7.7,,https://movie.douban.com/subject/34841067/,女性电影TOP300 (ID: 161498552),,,,热辣滚烫,7.5
信笺故事 The Tale,,2018,,8.2,,https://movie.douban.com/subject/26793852/,女性电影TOP300 (ID: 161498552),,,,,
降临 Arrival,,2016,,7.8,,https://movie.douban.com/subject/21324900/,女性电影TOP300 (ID: 161498552),,,,银翼杀手2049,8.4
海洋奇缘 Moana,,2016,,7.5,,https://movie.douban.com/subject/25793398/,女性电影TOP300 (ID: 161498552),,,,小美人鱼,8.5
焦土之城 Incendies,,2010,,8.6,,https://movie.douban.com/subject/4935242/,女性电影TOP300 (ID: 161498552),,,,边境杀手,7.7
铁娘子：坚固柔情 The Iron Lady,,2011,,7.6,,https://movie.douban.com/subject/3073158/,女性电影TOP300 (ID: 161498552),,,,妈妈咪呀！,7.6
隐形人 The Invisible Man,,2020,,7.1,,https://movie.douban.com/subject/2364086/,女性电影TOP300 (ID: 161498552),,,,升级,8.1
小姐 ???,,2016,,8.5,,https://movie.douban.com/subject/25977027/,女性电影TOP300 (ID: 161498552),,,,老男孩,8.3
被误解的女性 Miss Representation,,2011,,9.3,,https://movie.douban.com/subject/5973966/,女性电影TOP300 (ID: 161498552),,,,面具之内,8.7
真心半解 The Half of It,,2020,,8.1,,https://movie.douban.com/subject/33420285/,女性电影TOP300 (ID: 161498552),,,,面子,8.7
"我，花样女王 I, Tonya",,2017,,7.9,,https://movie.douban.com/subject/26756049/,女性电影TOP300 (ID: 161498552),,,,充气娃娃之恋,8.2
伊莉莎与玛瑟拉 Elisa y Marcela,,2019,,8.5,,https://movie.douban.com/subject/30251948/,女性电影TOP300 (ID: 161498552),,,,书店,8
猎杀本·拉登 Zero Dark Thirty,,2012,,7.7,,https://movie.douban.com/subject/6430835/,女性电影TOP300 (ID: 161498552),,,,拆弹部队,7.8
一代宗师 一代宗師,,2013,,8.2,,https://movie.douban.com/subject/3821067/,女性电影TOP300 (ID: 161498552),,,,花样年华,8.7
奇怪的她 ??? ??,,2014,,8.3,,https://movie.douban.com/subject/24879820/,女性电影TOP300 (ID: 161498552),,,,熔炉,9.3
孤味,,2020,,8,,https://movie.douban.com/subject/34805873/,女性电影TOP300 (ID: 161498552),,,,,
伯德小姐 Lady Bird,,2017,,7.9,,https://movie.douban.com/subject/26588314/,女性电影TOP300 (ID: 161498552),,,,弗兰西丝·哈,8.5
