书名,书籍豆瓣ID,评论内容,评论评分,评论时间,有用数
妇女一直在工作,37305158,"翻译有一点晦涩（需要很认真才能读）语言不够流畅，整体观点也比较浅显，就是按照历史时间列了妇女从被强制关在家庭逐渐走出家庭参与工作、到现在又被要求“平衡工作家庭”的困境。有一点新颖的观点：
“与没有孩子的妇女相比，有孩子的妇女的薪水要低5%到7%。父亲不必承受任何惩罚。他们的收人比没有孩子的男人还要高8%左右。”
数据就是证据。职业隔离、限制工作种类、从出生开始克扣资源（剥脱妇女土地权益、受教育权益…）、再被灌输“爱与奉献”虚空概念、甚至妇女从事的工作“按件计费而不是按工作小时”（以此降低工作晋升可能性又确保努力工作）……可以说罄竹难书🚬…如果现在连正视现状不公正⚖️都做不到，那一味哭出生率低只能说活该了：）",user-stars,,0
妇女一直在工作,37305158,举重若轻，大师之作。（读的时候常常希望作者再多写一点就好了。）,user-stars,,0
妇女一直在工作,37305158,第139页的插图小字「虽然这些罢工工人是性别隔离的，但他们并没有种族隔离」；第194页的插图是3个在货运飞机上工作的劳动女性，太迷人了！是一代一代一直在工作的女性，用行动将性别不平等的石头一寸寸往上推，才换来历史上的女奴的女儿们可以成为自由帮佣，然后下一代女性可以进入工厂，再下一代女性可以当办公室文员，然后再下一代的女性终于可以当科学家，艺术家，音乐家，工程师...这本书就是在告诉我们，行动还是有用的，哪怕是微小的行动。好受抚慰。,user-stars,,0
妇女一直在工作,37305158,快速地翻完了,user-stars,,0
妇女一直在工作,37305158,"2026年读完的第一本，是个好兆头呀！是一本史料详实、穿针引线式的一本好书。
阅读过程中，似乎把我的高中历史课、大学专业课、以及看过的英美电影、剧集、文学作品都以“妇女&工作”这一主题为针线全部都结实地串在了一起。很精彩、很丰盛！
世界上真的不能没有女学者啊！
它应该会成为我以后人生中会复读、会反复引用的一本书。
推荐给任何想要了解妇女与劳动/工作的人阅读。
作者对历史中许多事件的评价，放在今天也同样准确。
“一个地方，一旦把出人头地摆在最重要的位置，而且出人头地不是靠出身或家庭，而是靠个人努力，那么，这里的男人便很少有时间照顾家庭。 为了在工作领域竞逐，男人们需要有一个井然有序的家庭。…相反，妇女要成为帮助男人成功的工具。作为回报，他们可以期待得到整个社会的崇拜和感激。”",user-stars,,0
妇女一直在工作,37305158,有多少女性受偏见和歧视之苦，就有多少女性起身反抗她自身的处境。通过梳理过去两百年的女性工作史，这本书向我们展示了一幅女性不断被压制、不断奋起抗争的历史长卷。令人唏嘘的是，时至今日，妇女们依然在有偿工作与无偿照护两大“分隔”领域，饱受煎熬，一面是年幼的孩子和迟暮的老人，一面是养家必需的收入、社会身份和自我实现。观念在更新，环境在改善，但还远远不够。每向前走一步，都是走入历史。,user-stars,,0
妇女一直在工作,37305158,一直以来我都特别讨厌上政治课和历史课，充满了口号和陈词滥调，但是这本书深深地吸引了我，她不仅帮我理清了美国妇女的工作史，并且透过这段历史我能感受到属于妇女的生命力，里面的叙述手法并不是教科书般的空洞和晦涩难懂，反而用最简洁的话来说历史，里面的插图也很有力量，我会再次读这本书的。,user-stars,,0
妇女一直在工作,37305158,认认真真地读完了。感觉男权社会从始至终就只会那一套：用好女人的道德枷锁来奴役女性。,user-stars,,0
妇女一直在工作,37305158,美国女性劳动历史，从工作维持生计到回归家庭承担家庭“美德”当教育孩子的母亲，再到生产者与重要的消费者，以及成立女性俱乐部的过程,user-stars,,0
妇女一直在工作,37305158,"历史向，首版1981年，20世纪美国妇女史与劳工史研究领域，美国妇女从事工资劳动。劳动形式、家庭形象和妇女职责在19世纪以后发生的变化。
PS.大致翻阅。",,,0
妇女一直在工作,37305158,建议搭配《父权制与资本积累》食用，别有一番风味。在资产阶级的意义上，女性从来没有被定义为自由的历史主体。因此，对女性施加暴力、通过胁迫性劳动关系榨取女性的劳动力，这是资本主义的组成部分。它们是资本主义积累过程的必要条件，而不是它的附带性内容。换句话说，如果资本主义想维持积累模式，就必须利用、加强甚至创造父权制的男女关系。所谓“家庭主妇”的传统形象是晚近的建构——从田野到作坊，从家庭生产到有偿帮佣，妇女的劳动始终是经济运转的隐形支柱。将家务定义为“非工作”本身就是父权制与资本主义的共谋，它系统性地贬低了女性创造的价值。那些被长期隐形的哺育、耕种、缝补与情感维系——这些构成人类文明基石的劳动从未停止，却始终被排除在价值计量之外。当资本主义与父权制将“工作”狭隘定义，究竟掩盖了多少性别化的付出？,user-stars,,0
妇女一直在工作,37305158,平和，通顺，流程，要言不烦。本书体制介于小册子和略显厚重的历史学著作之间，取法乎上，仅得其中。妇女一直在工作，但是组成其生活领域的设施和与此配置的心智结构也在不断改变。作者坚持了马克思主义女性主义（起码中文导读用了这样一个词汇）的传统，呼吁警惕「姐妹情谊」下所掩盖的阶级和人种因素。曲折反复的历史过程被流畅地叙述起来，作者举重若轻的能力实在值得学习。本书梳理过工作伦理的历时变化，可以和鲍曼一起读。妇女所从事的工作以及工作在性别分工中所处的位置并非简单地由前工业的男主外女主内到工业时代去技术化带来的解放。事实远非如此，历史更加复杂……,user-stars,,0
妇女一直在工作,37305158,非常优秀的美国妇女劳动史。妇女从未停止过工作，「妇女不工作」是被建构出来的错误概念，在不同的历史阶段，妇女的劳动被不断重新定义、重新分类…印象比较深刻的是1、「一个社会愿意让某些妇女像弃儿一般生活，以维护有权势者的道德，而这些有权势者一边利用妇女，一边又谴责她们。」2、社会对妇女角色长期存在幻想和预设3、性骚扰长期存在（或许至今仍未改善）。不知道国内有没有类似的系统的妇女劳动史…我读的太少，想的太多。,user-stars,,0
妇女一直在工作,37305158,我们的来时路。,user-stars,,0
性权利：21世纪的女性主义,36590157,（一星热评不觉得自己的评论就解释了为什么男的讨人嫌吗,user-stars,,0
性权利：21世纪的女性主义,36590157,性权利，性骚扰，色情文化。据说一字未删。权利问题，一定会遇到权力问题。,user-stars,,0
性权利：21世纪的女性主义,36590157,某姓李的热评短评不知怎么读的书，对作者观点误解巨大。像是杂志，拼凑了几篇文章，连贯性不强。最后一章读得我热血澎湃的。不知道是不是翻译原因，读的某些句子非常难以理解还存在歧义。,user-stars,,0
性权利：21世纪的女性主义,36590157,女权主义不能沉浸在各种利益总能趋于一致的幻想当中，认为我们的计划不会造成意想不到、非我等所愿的后果，认为政治是舒适之所。“性革命究竟解放了谁？” “我们从未自由过。”,user-stars,,0
