电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列
想象之光 All We Imagine as Light,,2024,,7.5,,https://movie.douban.com/subject/35965772/,女性电影TOP300 (ID: 161498552)
月事革命 Period. End of Sentence.,,2018,,7.9,,https://movie.douban.com/subject/30433802/,女性电影TOP300 (ID: 161498552)
二十世纪女人 20th Century Women,,2016,,7.7,,https://movie.douban.com/subject/26389928/,女性电影TOP300 (ID: 161498552)
海鸥食堂 かもめ食堂,,2006,,8.3,,https://movie.douban.com/subject/1892578/,女性电影TOP300 (ID: 161498552)
冰雪奇缘 Frozen,,2013,,8.5,,https://movie.douban.com/subject/4202982/,女性电影TOP300 (ID: 161498552)
瞬息全宇宙 Everything Everywhere All at Once,,2022,,7.6,,https://movie.douban.com/subject/30314848/,女性电影TOP300 (ID: 161498552)
诉讼 גט - המשפט של ויויאן אמסאלם,,2014,,8.1,,https://movie.douban.com/subject/25687245/,女性电影TOP300 (ID: 161498552)
女人世界,,2024,,8.4,,https://movie.douban.com/subject/35183325/,女性电影TOP300 (ID: 161498552)
女性瘾者：第一部 Nymphomaniac: Volume I,,2013,,7.9,,https://movie.douban.com/subject/6827727/,女性电影TOP300 (ID: 161498552)
"德菲因与卡罗尔：反叛缪斯 Delphine et Carole, insoumuses",,2019,,9.2,,https://movie.douban.com/subject/30447702/,女性电影TOP300 (ID: 161498552)
魔女 마녀,,2018,,7.7,,https://movie.douban.com/subject/26602900/,女性电影TOP300 (ID: 161498552)
小森林 冬春篇 リトル・フォレスト 冬・春,,2015,,9.0,,https://movie.douban.com/subject/25814707/,女性电影TOP300 (ID: 161498552)
二十二,,2015,,8.7,,https://movie.douban.com/subject/26430107/,女性电影TOP300 (ID: 161498552)
脸庞，村庄 Visages villages,,2017,,9.1,,https://movie.douban.com/subject/26764928/,女性电影TOP300 (ID: 161498552)
万箭穿心,,2012,,8.6,,https://movie.douban.com/subject/10537853/,女性电影TOP300 (ID: 161498552)
狗十三,,2013,,8.2,,https://movie.douban.com/subject/25716096/,女性电影TOP300 (ID: 161498552)
黑箱日记 Black Box Diaries,,2024,,9.2,,https://movie.douban.com/subject/36675987/,女性电影TOP300 (ID: 161498552)
刺猬的优雅 Le hérisson,,2009,,8.8,,https://movie.douban.com/subject/3824274/,女性电影TOP300 (ID: 161498552)
你好，李焕英,,2021,,7.7,,https://movie.douban.com/subject/34841067/,女性电影TOP300 (ID: 161498552)
信笺故事 The Tale,,2018,,8.2,,https://movie.douban.com/subject/26793852/,女性电影TOP300 (ID: 161498552)
降临 Arrival,,2016,,7.8,,https://movie.douban.com/subject/21324900/,女性电影TOP300 (ID: 161498552)
海洋奇缘 Moana,,2016,,7.5,,https://movie.douban.com/subject/25793398/,女性电影TOP300 (ID: 161498552)
焦土之城 Incendies,,2010,,8.6,,https://movie.douban.com/subject/4935242/,女性电影TOP300 (ID: 161498552)
铁娘子：坚固柔情 The Iron Lady,,2011,,7.6,,https://movie.douban.com/subject/3073158/,女性电影TOP300 (ID: 161498552)
隐形人 The Invisible Man,,2020,,7.1,,https://movie.douban.com/subject/2364086/,女性电影TOP300 (ID: 161498552)
小姐 아가씨,,2016,,8.5,,https://movie.douban.com/subject/25977027/,女性电影TOP300 (ID: 161498552)
